BK-001,ISBN-978-0735211292,Atomic Habits,James Clear,Self-Help,2018,Aisle A-1,5,5,0
BK-002,ISBN-978-1451639612,The 7 Habits of Highly Effective People,Stephen R. Covey,Self-Help,1989,Aisle A-1,4,4,0
BK-003,ISBN-978-1612680194,Rich Dad Poor Dad,Robert Kiyosaki,Personal Finance,1997,Aisle B-2,5,5,0
BK-004,ISBN-978-1585424337,Think and Grow Rich,Napoleon Hill,Self-Help,1937,Aisle A-1,3,3,0
BK-005,ISBN-978-1455586691,Deep Work,Cal Newport,Productivity,2016,Aisle C-3,5,5,0
BK-006,ISBN-978-0812981605,The Power of Habit,Charles Duhigg,Psychology,2012,Aisle D-4,4,4,0
BK-007,ISBN-978-0671027032,How to Win Friends and Influence People,Dale Carnegie,Self-Help,1936,Aisle A-1,5,5,0
BK-008,ISBN-978-0807014295,Man's Search for Meaning,Viktor E. Frankl,Psychology,1946,Aisle D-4,3,3,0
BK-009,ISBN-978-0062315007,The Alchemist,Paulo Coelho,Fiction,1988,Aisle E-5,6,6,0
BK-010,ISBN-978-0061743528,To Kill a Mockingbird,Harper Lee,Fiction,1960,Aisle E-5,4,4,0
BK-011,ISBN-978-0451524935,1984,George Orwell,Fiction,1949,Aisle E-5,5,5,0
BK-012,ISBN-978-0451526342,Animal Farm,George Orwell,Fiction,1945,Aisle E-5,3,3,0
BK-013,ISBN-978-0062316097,Sapiens: A Brief History of Humankind,Yuval Noah Harari,History,2011,Aisle F-6,6,6,0
BK-014,ISBN-978-0062464316,Homo Deus,Yuval Noah Harari,History,2015,Aisle F-6,4,4,0
BK-015,ISBN-978-0062457714,The Subtle Art of Not Giving a F*ck,Mark Manson,Self-Help,2016,Aisle A-1,5,5,0
BK-016,ISBN-978-1591846444,Start With Why,Simon Sinek,Business,2009,Aisle B-2,4,4,0
BK-017,ISBN-978-0804139021,Zero to One,Peter Thiel,Business,2014,Aisle B-2,3,3,0
BK-018,ISBN-978-0307887894,The Lean Startup,Eric Ries,Business,2011,Aisle B-2,5,5,0
BK-019,ISBN-978-0374533557,Thinking Fast and Slow,Daniel Kahneman,Psychology,2011,Aisle D-4,4,4,0
BK-020,ISBN-978-1501111105,Grit,Angela Duckworth,Psychology,2016,Aisle D-4,3,3,0
BK-021,ISBN-978-0316769488,The Catcher in the Rye,J.D. Salinger,Fiction,1951,Aisle E-5,3,3,0
BK-022,ISBN-978-0439708180,Harry Potter and the Sorcerer's Stone,J.K. Rowling,Fantasy,1997,Aisle G-7,6,6,0
BK-023,ISBN-978-0439064873,Harry Potter and the Chamber of Secrets,J.K. Rowling,Fantasy,1998,Aisle G-7,5,5,0
BK-024,ISBN-978-0547928227,The Hobbit,J.R.R. Tolkien,Fantasy,1937,Aisle G-7,4,4,0
BK-025,ISBN-978-0618640157,The Lord of the Rings,J.R.R. Tolkien,Fantasy,1954,Aisle G-7,3,3,0
BK-026,ISBN-978-0679720201,Crime and Punishment,Fyodor Dostoevsky,Classic Literature,1866,Aisle H-8,3,3,0
BK-027,ISBN-978-0141439518,Pride and Prejudice,Jane Austen,Classic Literature,1813,Aisle H-8,4,4,0
BK-028,ISBN-978-0743273565,The Great Gatsby,F. Scott Fitzgerald,Classic Literature,1925,Aisle H-8,4,4,0
BK-029,ISBN-978-0062409850,Brief History of Time,Stephen Hawking,Science,1988,Aisle I-9,3,3,0
BK-030,ISBN-978-0393347951,The Gene: An Intimate History,Siddhartha Mukherjee,Science,2016,Aisle I-9,2,2,0
BK-031,ISBN-978-0316346627,Educated,Tara Westover,Memoir,2018,Aisle J-10,4,4,0
BK-032,ISBN-978-0812993547,Thinking in Systems,Donella H. Meadows,Systems,2008,Aisle C-3,3,3,0
BK-033,ISBN-978-0525559474,The Pragmatic Programmer,David Thomas,Computer Science,2019,Aisle K-11,4,4,0
BK-034,ISBN-978-0201633610,Design Patterns: GoF,Gang of Four,Computer Science,1994,Aisle K-11,3,3,0
BK-035,ISBN-978-0136083238,Clean Code,Robert C. Martin,Computer Science,2008,Aisle K-11,4,4,0
BK-036,ISBN-978-0201485677,The Mythical Man-Month,Frederick P. Brooks,Computer Science,1975,Aisle K-11,2,2,0
BK-037,ISBN-978-0062361806,The Innovators,Walter Isaacson,Technology,2014,Aisle L-12,3,3,0
BK-038,ISBN-978-0812977462,Guns Germs and Steel,Jared Diamond,History,1997,Aisle F-6,3,3,0
BK-039,ISBN-978-0062316110,21 Lessons for the 21st Century,Yuval Noah Harari,Non-Fiction,2018,Aisle F-6,4,4,0
BK-040,ISBN-978-1250301697,The Psychology of Money,Morgan Housel,Personal Finance,2020,Aisle B-2,5,5,0
